H,#,Stock,Buy Rate,Star,Moat,Fair$,Uncertainty,Leadership,Price,Fair%,mcap,trUp%
,1,RNG,86%,5,Narrow,391,High,Exemplary,185.71,110.54%,,
,2,YUMC,83%,5,Wide,86,Medium,Standard,49,75.51%,,
,3,DOCU,55%,4,Narrow,244,Very High,Standard,142.5,71.23%,,
,4,UBER,87%,4,Narrow,69,Very High,Standard,43.97,56.93%,,
,5,TWLO,94%,4,Narrow,356,High,Standard,232.29,53.26%,,
,6,LAD,80%,4,Narrow,445,Very High,Standard,296,50.34%,,
,7,SAM,50%,5,Narrow,750,Medium,Exemplary,502.07,49.38%,,
,8,GAP,82%,4,None,26.5,High,Standard,17.89,48.13%,,
Y,9,BABA,86%,4,Wide,188,High,Exemplary,131.83,42.61%,,
,10,VMW,53%,4,Narrow,175,High,Standard,123.33,41.90%,,
,11,LUV,74%,4,None,63,High,Standard,46.05,36.81%,,
,12,CRM,86%,4,Wide,320,Medium,Standard,235.23,36.04%,,
,13,OKTA,82%,4,Narrow,280,High,Exemplary,208.32,34.41%,,
,14,LVS,56%,4,Narrow,52,High,Exemplary,39.08,33.06%,,
,15,DAL,64%,4,None,54.5,Very High,Exemplary,41.36,31.77%,,
,16,GE,57%,4,Narrow,131,High,Exemplary,101.79,28.70%,,
,17,TPR,69%,4,Narrow,48.5,High,Standard,37.74,28.51%,,
,18,HUM,59%,4,Narrow,485,Medium,Exemplary,385.37,25.85%,,
,19,PVH,52%,4,None,129,High,Standard,103,25.24%,,
,20,QRVO,58%,4,None,190,High,Standard,151.77,25.19%,,
,21,COLD,58%,4,None,37.5,High,Standard,29.99,25.04%,,
,22,BYND,50%,4,None,133,High,Exemplary,106.8,24.53%,,
,23,GOOGL,94%,4,Wide,3470,High,Exemplary,2790,24.37%,,
,24,VEEV,65%,4,Wide,300,Medium,Exemplary,241.36,24.30%,,
,25,AMZN,96%,4,Wide,4100,High,Exemplary,3305,24.05%,,
,26,FB,76%,4,Wide,404,High,Exemplary,331.52,21.86%,,
Y,27,MDT,85%,4,Wide,129,Medium,Standard,107.42,20.09%,,
,28,NOW,89%,4,Wide,685,Medium,Exemplary,575.67,18.99%,,
,29,CI,65%,4,Narrow,283,Medium,Standard,237.89,18.96%,,
Y,30,ADBE,83%,4,Wide,630,Medium,Exemplary,531.8,18.47%,,
,31,KMX,63%,3,Narrow,138,High,Standard,117.35,17.60%,,
,32,MRK,60%,4,Wide,94,Medium,Standard,81.17,15.81%,,
,33,APD,52%,4,Narrow,340,Medium,Exemplary,295.72,14.97%,,
,34,ALGN,71%,3,Narrow,628,High,Standard,558.48,12.45%,,
,35,TSM,90%,4,Wide,143,Medium,Exemplary,128.17,11.57%,,
,36,GM,84%,3,None,68,High,Standard,60.98,11.51%,,
,37,LMT,57%,4,Wide,402,Medium,Standard,363.62,10.55%,,
,38,MSFT,90%,3,Wide,345,Medium,Exemplary,315.09,9.49%,,
,39,LEN,68%,3,None,117,High,Standard,107.79,8.54%,,
,40,VZ,68%,3,Narrow,58,Medium,Standard,53.58,8.25%,,
,41,DIS,68%,3,Wide,170,High,Standard,157.84,7.70%,,
,42,XOM,53%,3,Narrow,76,High,Exemplary,70.66,7.56%,,
,43,BKNG,55%,3,Narrow,2650,High,Exemplary,2471.89,7.21%,,
,44,IQV,90%,3,Narrow,276,Medium,Standard,257.99,6.98%,,
,45,GLW,69%,3,Narrow,40,Medium,Exemplary,37.54,6.55%,,
,46,KYOCY,56%,3,None,66,Medium,Standard,62.85,5.01%,,
,47,MMM,68%,3,Wide,187,Medium,Standard,178.5,4.76%,,
,48,HON,48%,3,Wide,225,Medium,Exemplary,215.63,4.35%,,
Y,49,WELL,65%,3,None,90,Medium,Exemplary,86.36,4.21%,,
,50,BMY,63%,3,Wide,68,Medium,Exemplary,65.45,3.90%,,
,51,SBUX,56%,3,Wide,109,Medium,Exemplary,104.98,3.83%,,
Y,52,V,92%,3,Wide,221,Medium,Standard,213.8,3.37%,,
,53,PAYC,65%,3,Narrow,378,High,Exemplary,367.04,2.99%,,
,54,FMC,68%,4,Narrow,112,High,Exemplary,108.88,2.87%,,
,55,D,65%,3,Wide,81,Low,Exemplary,79.24,2.22%,,
Y,56,CRWD,88%,3,Narrow,200,High,Exemplary,195.78,2.16%,,
,57,WMT,82%,3,Wide,145,Medium,Standard,144.03,0.67%,,
,58,CVX,67%,3,Narrow,128,High,Exemplary,127.5,0.39%,,
,59,O,52%,3,None,71,Medium,Exemplary,71.06,-0.08%,,
,60,REGN,54%,3,Narrow,620,Medium,Standard,623.52,-0.56%,,
,61,ADI,78%,3,Wide,172,Medium,Exemplary,172.99,-0.57%,,
,62,GIS,60%,3,Narrow,67,Low,Standard,68.03,-1.51%,,
,63,FDX,75%,3,Narrow,251,High,Standard,255.9,-1.91%,,
,64,KO,61%,4,Wide,59,Low,Exemplary,60.19,-1.98%,,
Y,65,JNJ,50%,3,Wide,167,Low,Standard,170.77,-2.21%,,
,66,USB,54%,3,Wide,60,Medium,Exemplary,61.6,-2.60%,,
,67,TRU,81%,3,Wide,108,Medium,Exemplary,111.35,-3.01%,,
,68,TSN,53%,3,None,87,High,Standard,89.89,-3.22%,,
,69,STM,61%,3,Narrow,47,High,Standard,48.75,-3.59%,,
,70,MA,86%,3,Wide,352,Medium,Standard,365.45,-3.68%,,
,71,DHI,76%,3,None,95,High,Standard,98.8,-3.85%,,
,72,ECL,70%,3,Wide,215,Medium,Exemplary,225.21,-4.53%,,
,73,SPG,52%,3,None,154,High,Exemplary,162.2,-5.06%,,
Y,74,COIN,67%,3,None,225,Very High,Standard,237.46,-5.25%,,
,75,MCO,61%,3,Wide,345,Medium,Exemplary,366.32,-5.82%,,
,76,RTX,74%,3,Wide,85,High,Standard,90.5,-6.08%,,
,77,CZR,80%,3,None,106,High,Exemplary,112.93,-6.14%,,
,78,AMAT,68%,3,Wide,142,High,Exemplary,151.31,-6.15%,,
,79,MTCH,70%,2,Narrow,118,High,Exemplary,126.52,-6.73%,,
,80,ENPH,67%,2,None,138,Very High,Exemplary,148,-6.76%,,
Y,81,SPGI,85%,2,Wide,405,Medium,Exemplary,438.12,-7.56%,,
