symbol,morningstar rating,moat,fair value,uncertainty,stewardship
PII,2,wide,100,high,exemplary
AZPN,3,wide,140,medium,standard
PHM,5,none,42,high,standard
BXP,3,none,103,high,exemplary
VLO,4,narrow,79,very high,exemplary
LUV,3,none,44,very high,exemplary
VFC,1,narrow,56,medium,exemplary
MSCI,1,wide,265,medium,exemplary
LVS,3,narrow,58,high,standard
EW,2,narrow,64,high,exemplary
ILMN,3,narrow,343,very high,exemplary
SHW,1,narrow,380,medium,exemplary
LMT,4,wide,433,medium,standard
RTX,3,wide,77,high,standard
VZ,3,narrow,57,medium,standard
FB,3,wide,306,high,standard
TSM,3,wide,136,medium,exemplary
AMAT,2,wide,74,high,standard
PGR,2,narrow,70,high,exemplary
ANTM,4,narrow,370,medium,standard
GILD,4,wide,77,medium,standard
MMM,3,wide,186,medium,exemplary
CVS,4,narrow,92,medium,standard
BMY,3,wide,68,medium,standard
BUD,4,wide,96,medium,exemplary
PEP,3,wide,140,low,exemplary
KO,4,wide,54,low,exemplary
TJX,2,narrow,53,medium,exemplary
SBUX,3,wide,100,medium,exemplary
MCD,4,wide,236,medium,standard
