Security Ticker,Security Description
ETSY,Etsy Inc
FIVE,Five Below Inc
TTD,Trade Desk Inc
PLNT,Planet Fitness Inc
CREE,Cree Inc
HUBS,Hubspot Inc
WWD,Woodward Inc
ENTG,Entegris Inc
COUP,Coupa Software Inc
PRI,Primerica Inc
MDSO,Medidata Solutions Inc
CIEN,Ciena Corp
HZNP,Horizon Pharma Plc
VSAT,Viasat Inc
IDA,Idacorp Inc
MTG,Mgic Investment Corp
HAE,Haemonetics Corp
RDN,Radian Group Inc
CACI,Caci Intl Inc
OLLI,Ollie'S Bargain Outlet Holdings Inc
COLD,Americold Realty Trust
NXST,Nexstar Broadcasting Group Inc
NEWR,New Relic Inc
ARRY,Array Biopharma Inc
EME,Emcor Group Inc
POR,Portland General Electric Co
MMS,Maximus Inc
KMPR,Kemper Corp
LITE,Lumentum Holdings Inc
NYT,New York Times Co
NSP,Insperity Inc
OGS,One Gas Inc
ESNT,Essent Group Ltd
IBKC,Iberiabank Corp
SLAB,Silicon Laboratories Inc
DECK,Deckers Outdoor Corp
SNX,Synnex Corp
NJR,New Jersey Resources Corp
SWX,Southwest Gas Corp
FR,First Industrial Realty Trust Inc
NGVT,Ingevity Corp
FCFS,Firstcash Inc
ALE,Allete Inc
JCOM,J2 Global Inc
PEB,Pebblebrook Hotel Trust
TDOC,Teladoc Inc
SBGI,Sinclair Broadcast Group Inc
SR,Spire Inc
ZS,Zscaler Inc
SIGI,Selective Insurance Group Inc
SF,Stifel Financial Corp
BXMT,Blackstone Mortgage Trust Inc
VRNT,Verint Systems Inc
AAN,Aaron'S Inc
VAC,Marriott Vacations Worldwide Corp
RAMP,Liveramp Holdings Inc
FFIN,First Financial Bankshares Inc
BKH,Black Hills Corp
PFGC,Performance Food Group Co
CHGG,Chegg Inc
ACIW,Aci Worldwide Inc
CUZ,Cousins Properties Inc
EGP,Eastgroup Properties Inc
WMGI,Wright Medical Group Nv
BCO,Brink'S Co
TECD,Tech Data Corp
AAXN,Axon Enterprise Inc
HQY,Healthequity Inc
SAIC,Science Applications Intl Corp
UBSI,United Bankshares Inc
BLKB,Blackbaud Inc
MSA,Msa Safety Inc
HR,Healthcare Realty Trust Inc
TTEK,Tetra Tech Inc
RHP,Ryman Hospitality Properties Inc
AEO,American Eagle Outfitters Inc
TREX,Trex Co Inc
TXRH,Texas Roadhouse Inc
PNM,Pnm Resources Inc
HBHC,Hancock Holding Co
WWE,World Wrestling Entertainment Inc
GBCI,Glacier Bancorp Inc
HELE,Helen Of Troy Ltd
FGEN,Fibrogen Inc
STRA,Strategic Education Inc
GNRC,Generac Holdings Inc
SBRA,Sabra Health Care Reit Inc
NWE,Northwestern Corp
LIVN,Livanova Plc
NVCR,Novocure Ltd
LPX,Louisiana-Pacific Corp
BPMC,Blueprint Medicines Corp
MRCY,Mercury Systems Inc
JBT,John Bean Technologies Corp
REXR,Rexford Industrial Realty Inc
ONCE,Spark Therapeutics Inc
SAVE,Spirit Airlines Inc
CCMP,Cabot Microelectronics Corp
CHDN,Churchill Downs Inc
BJ,Bjs Wholesale Club Holdings Inc
SMTC,Semtech Corp
ROG,Rogers Corp
VLY,Valley National Bancorp
TGNA,Gannett Co Inc
DAR,Darling Ingredients Inc
RARE,Ultragenyx Pharmaceutical Inc
TNDM,Tandem Diabetes Care Inc
PRSP,Perspecta Inc
CBU,Community Bank System Inc
YELP,Yelp Inc
ROLL,Rbc Bearings Inc
MTZ,Mastec Inc
KBR,Kbr Inc
WWW,Wolverine World Wide Inc
GMED,Globus Medical Inc
LHCG,Lhc Group Inc
RLI,Rli Corp
CBRL,Cracker Barrel Old Country Store Inc
DOC,Physicians Realty Trust
NUVA,Nuvasive Inc
UMBF,Umb Financial Corp
SHO,Sunstone Hotel Investors Inc
OMCL,Omnicell Inc
ENV,Envestnet Inc
BCPC,Balchem Corp
RLJ,Rlj Lodging Trust
FCN,Fti Consulting Inc
ERI,Eldorado Resorts Inc
AMED,Amedisys Inc
GBT,Global Blood Therapeutics Inc
TREE,Lendingtree Inc
FII,Federated Investors Inc
NHI,National Health Investors Inc
SXT,Sensient Technologies Corp
VIAV,Viavi Solutions Inc
PSB,Ps Business Parks Inc
NEOG,Neogen Corp
ASGN,Asgn Inc
GDOT,Green Dot Corp
CHFC,Chemical Financial Corp
SKYW,Skywest Inc
SAFM,Sanderson Farms Inc
MMSI,Merit Medical Systems Inc
DK,Delek Us Holdings Inc
KMT,Kennametal Inc
ATI,Allegheny Technologies Inc
QLYS,Qualys Inc
HOMB,Home Bancshares Inc
ACAD,Acadia Pharmaceuticals Inc
CSOD,Cornerstone Ondemand Inc
CLF,Cleveland-Cliffs Inc
SJI,South Jersey Industries Inc
SHOO,Steven Madden Ltd
MOG.A,Moog Inc
RXN,Rexnord Corp
CRUS,Cirrus Logic Inc
CSFL,Centerstate Banks Inc
FIVN,Five9 Inc
FULT,Fulton Financial Corp
ENS,Enersys
CATY,Cathay General Bancorp
SYNH,Syneos Health Inc
PRLB,Proto Labs Inc
EXPO,Exponent Inc
STAG,Stag Industrial Inc
GATX,Gatx Corp
BLD,Topbuild Corp
ROKU,Roku Inc
BXS,Bancorpsouth Bank
UBSH,Union Bankshares Corp
LANC,Lancaster Colony Corp
AVA,Avista Corp
PCTY,Paylocity Holding Corp
SAM,Boston Beer Co Inc
FNSR,Finisar Corp
SSD,Simpson Manufacturing Co Inc
CNO,Cno Financial Group Inc
AJRD,Aerojet Rocketdyne Holdings
KW,Kennedy-Wilson Holdings Inc
TNET,Trinet Group Inc
KWR,Quaker Chemical Corp
COLB,Columbia Banking System Inc
ISBC,Investors Bancorp Inc
NOVT,Novanta Inc
TRNO,Terreno Realty Corp
FOXF,Fox Factory Holding Corp
B,Barnes Group Inc
BRKS,Brooks Automation Inc
CADE,Cadence Bancorp
GTLS,Chart Industries Inc
SSB,South State Corp
WAFD,Washington Federal Inc
RGEN,Repligen Corp
BECN,Beacon Roofing Supply Inc
AEL,American Equity Investment Life Holding Co
INDB,Independent Bank Corp
IRBT,Irobot Corp
IRDM,Iridium Communications Inc
PDM,Piedmont Office Realty Trust Inc
QTWO,Q2 Holdings Inc
KFY,Korn/Ferry Intl
MUSA,Murphy Usa Inc
AWR,American States Water Co
ENSG,Ensign Group Inc
VG,Vonage Holdings Corp
DAN,Dana Holding Corp
MNRO,Monro Muffler Brake Inc
HMSY,Hms Holdings Corp
AYX,Alteryx Inc - Class A
XHR,Xenia Hotels And Reports Inc
ONB,Old National Bancorp
ATGE,Adtalem Global Education Inc
SITE,Siteone Landscape Supply Inc
BOX,Box Inc - Cl A
LGND,Ligand Pharmaceuticals Inc
LAD,Lithia Motors Inc
PCH,Potlatch Corp
HCSG,Healthcare Services Group Inc
ABM,Abm Industries Inc
UNF,Unifirst Corp
GKOS,Glaukos Corp
HI,Hillenbrand Inc
VSH,Vishay Intertechnology Inc
FOLD,Amicus Therapeutics Inc
BDC,Belden Inc
ARNA,Arena Pharmaceuticals Inc
GEO,Geo Group Inc/The
PDCE,Pdc Energy Inc
AGII,Argo Group Intl Holdings Ltd
SWN,Southwestern Energy Co
CXW,Corecivic Inc
ORA,Ormat Technologies Inc
JJSF,J&J Snack Foods Corp
AMN,Amn Healthcare Services Inc
CCOI,Cogent Communications Holdings Inc
FUL,Hb Fuller Co
CVBF,Cvb Financial Corp
FFBC,First Financial Bancorp
LEXEA,Liberty Expedia Holdings Inc
CWT,California Water Service Group
IIVI,Ii-Vi Inc
ITGR,Integer Holdings Corp
EE,El Paso Electric Co
FBP,First Bancorp
IDCC,Interdigital Inc
WTS,Watts Water Technologies Inc
ARI,Apollo Commercial Real Estate Finance Inc
ADSW,Advanced Disposal Services Inc
MDP,Meredith Corp
TMHC,Taylor Morrison Home Corp
DORM,Dorman Products Inc
CVNA,Carvana Co
CRS,Carpenter Technology Corp
MGEE,Mge Energy Inc
BRC,Brady Corp
TRMK,Trustmark Corp
WING,Wingstop Inc
LCII,Lci Industries
IBOC,Intl Bancshares Corp
AKR,Acadia Realty Trust
EGHT,8X8 Inc
MLHR,Herman Miller Inc
SFNC,Simmons First National Corp
QTS,Qts Realty Trust Inc
LILAK,Liberty Latin Americ-Cl C
WDFC,Wd-40 Co
EVBG,Everbridge Inc
CAR,Avis Budget Group Inc
PLAY,Dave & Buster'S Entertainment Inc
FMBI,First Midwest Bancorp Inc
BTU,Peabody Energy Corp
QDEL,Quidel Corp
WRE,Washington Reit
UFPI,Universal Forest Products Inc
AIT,Applied Industrial Technologies Inc
IPHI,Inphi Corp
BYD,Boyd Gaming Corp
ADC,Agree Realty Corp
UCBI,United Community Banks Inc
SANM,Sanmina Corp
AIN,Albany Intl Corp
NTB,Bank Of N.T. Butterfield & Son Ltd
WSFS,Wsfs Financial Corp
ALRM,Alarm.Com Holdings Inc
INSM,Insmed Inc
FELE,Franklin Electric Co Inc
IMMU,Immunomedics Inc
KBH,Kb Home
EBS,Emergent Biosolutions Inc
POL,Polyone Corp
DRH,Diamondrock Hospitality Co
POWI,Power Integrations Inc
MDCO,Medicines Co
EPC,Energizer Holdings Inc
CLDR,Cloudera Inc
ESGR,Enstar Group Ltd
AIMC,Altra Industrial Motion Corp
FN,Fabrinet
MTX,Minerals Technologies Inc
IOSP,Innospec Inc
BBBY,Bed Bath & Beyond Inc
ITRI,Itron Inc
