Ticker,Name,Sector
MSFT,Microsoft Corporation,Information Technology
AAPL,Apple Inc.,Information Technology
AMZN,Amazon.com Inc.,Consumer Discretionary
FB,Facebook Inc. Class A,Communication Services
BRK.B,Berkshire Hathaway Inc. Class B,Financials
JPM,JPMorgan Chase & Co.,Financials
GOOGL,Alphabet Inc. Class A,Communication Services
GOOG,Alphabet Inc. Class C,Communication Services
JNJ,Johnson & Johnson,Health Care
V,Visa Inc. Class A,Information Technology
PG,Procter & Gamble Company,Consumer Staples
XOM,Exxon Mobil Corporation,Energy
T,AT&T Inc.,Communication Services
BAC,Bank of America Corp,Financials
UNH,UnitedHealth Group Incorporated,Health Care
MA,Mastercard Incorporated Class A,Information Technology
DIS,Walt Disney Company,Communication Services
INTC,Intel Corporation,Information Technology
VZ,Verizon Communications Inc.,Communication Services
HD,Home Depot Inc.,Consumer Discretionary
MRK,Merck & Co. Inc.,Health Care
CVX,Chevron Corporation,Energy
PFE,Pfizer Inc.,Health Care
KO,Coca-Cola Company,Consumer Staples
WFC,Wells Fargo & Company,Financials
CMCSA,Comcast Corporation Class A,Communication Services
CSCO,Cisco Systems Inc.,Information Technology
PEP,PepsiCo Inc.,Consumer Staples
BA,Boeing Company,Industrials
C,Citigroup Inc.,Financials
WMT,Walmart Inc.,Consumer Staples
ADBE,Adobe Inc.,Information Technology
ABT,Abbott Laboratories,Health Care
MDT,Medtronic Plc,Health Care
BMY,Bristol-Myers Squibb Company,Health Care
MCD,McDonald's Corporation,Consumer Discretionary
CRM,salesforce.com inc.,Information Technology
NVDA,NVIDIA Corporation,Information Technology
NFLX,Netflix Inc.,Communication Services
AMGN,Amgen Inc.,Health Care
ACN,Accenture Plc Class A,Information Technology
PM,Philip Morris International Inc.,Consumer Staples
ABBV,AbbVie Inc.,Health Care
TMO,Thermo Fisher Scientific Inc.,Health Care
COST,Costco Wholesale Corporation,Consumer Staples
PYPL,PayPal Holdings Inc,Information Technology
NKE,NIKE Inc. Class B,Consumer Discretionary
HON,Honeywell International Inc.,Industrials
UNP,Union Pacific Corporation,Industrials
AVGO,Broadcom Inc.,Information Technology
UTX,United Technologies Corporation,Industrials
